
2022/10/07 (16:04:17) | ===> btop++ v.1.2.10
2022/10/07 (16:04:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/07 (16:15:06) | ===> btop++ v.1.2.10
2022/10/07 (16:15:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/07 (19:21:39) | ===> btop++ v.1.2.10
2022/10/07 (19:21:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/07 (22:25:18) | ===> btop++ v.1.2.10
2022/10/07 (22:25:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/07 (22:25:36) | ===> btop++ v.1.2.10
2022/10/07 (22:25:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/08 (16:37:36) | ===> btop++ v.1.2.12
2022/10/08 (16:37:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/08 (16:45:05) | ===> btop++ v.1.2.12
2022/10/08 (16:45:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/08 (16:45:21) | ===> btop++ v.1.2.12
2022/10/08 (16:45:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/08 (17:00:34) | ===> btop++ v.1.2.12
2022/10/08 (17:00:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/08 (22:48:38) | ===> btop++ v.1.2.12
2022/10/08 (22:48:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
